nama_produk,jumlah_terjual,harga,kategori_produk,tanggal_transaksi
Gear Rantai,71.0,150000.0,Gear Seat Asp Grand,2021-01-01
Shockbreaker,66.0,210000.0,Shock AHM KVY Beat,2021-01-01
V-Belt,60.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-01-01
V-Belt,47.0,150000.0,V Belt set AHM KWN,2021-01-01
Bearing,57.0,45500.0,BRG AHM SET 6202 RS,2021-01-01
Kampas Kopling,65.0,155000.0,KPL Ganda ONLY AHM KVB VARIO,2021-01-01
Gear Rantai,40.0,185000.0,Gear Seat AHM KWB revo,2021-01-01
Bearing,39.0,47500.0,BRG AHM SET 6203 RS,2021-01-01
Hendel Rem,38.0,200000.0,Hendel Rem No Name,2021-01-01
Sakelar,35.0,8000.0,Sakelar Klakson,2021-01-01
Kaca Spion,50.0,44500.0,Spion Vario WIN,2021-01-01
Sakelar,62.0,8000.0,Sakelar Klakson,2021-01-01
Kampas Rem,72.0,47000.0,DPAD BLK SUPRA,2021-01-01
Oli,64.0,64000.0,Motul GP MTC 4T,2021-01-01
Gear Rantai,86.0,150000.0,Gear Seat Asp Grand,2021-01-01
Oli,71.0,40500.0,Mesran 40 1 LTR,2021-01-01
Lampu,52.0,8000.0,Indo Part Lampu dop rem,2021-01-01
Kaca Spion,45.0,35000.0,Spion Indo KVY Beat,2021-01-01
Seal,47.0,15000.0,Seal Water Pump,2021-01-01
V-Belt,62.0,119000.0,V Belt Only YGP 2DP NMX,2021-01-01
Hendel Rem,63.0,100000.0,Hendel Rem RCB kw,2021-01-01
Ban,53.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Bearing,49.0,50500.0,BRG AHM SET 6301 RS,2021-01-01
Bearing,79.0,47500.0,BRG AHM SET 6203 RS,2021-01-01
V-Belt,41.0,170000.0,V belt kit AHM KZR VARIO 125,2021-01-01
Sakelar,58.0,8000.0,Sakelar Klakson,2021-01-01
Dinamo,70.0,185000.0,Dinamo AHM KVB Vario,2021-01-01
Kampas Rem,36.0,51000.0,DPAD AHM KVBT01 VARIO,2021-01-01
Oli,31.0,37500.0,Grand Manual 0.8 L,2021-01-01
Oli,67.0,49000.0,MPX 1 0.8L,2021-01-01
Oli,67.0,49000.0,MPX 1 0.8L,2021-01-01
Kampas Kopling,71.0,155000.0,KPL Ganda ONLY AHM KVB VARIO,2021-01-01
Ban,45.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Ban,79.0,230000.0,FDR TR TL Flemino 90/90-14,2021-01-01
Kampas Kopling,62.0,155000.0,KPL Ganda ONLY AHM KVB VARIO,2021-01-01
Piringan Cakram,80.0,98500.0,Piringan DPN KC/YMMT NMX,2021-01-01
Oli,54.0,23000.0,Evalube 2T 0.7,2021-01-01
V-Belt,64.0,170000.0,V Belt set AHM K35,2021-01-01
Oli,33.0,47500.0,MOTUL MOTO 4 T,2021-01-01
Roller,31.0,70000.0,BRT Mio,2021-01-01
Seal,42.0,10000.0,Seal Crankshaf,2021-01-01
Kampas Rem,47.0,65000.0,DPAD YGP 2BM,2021-01-01
Roller,55.0,77500.0,BRT VARIO 125,2021-01-01
Lampu,32.0,30000.0,AHM Lampu Kepala,2021-01-01
Roller,47.0,72500.0,BRT VARIO 110,2021-01-01
Aki,41.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-01-01
Roller,56.0,77500.0,BRT NMX,2021-01-01
Oli,65.0,40000.0,Evalube Matic 0.8 L,2021-01-01
Bearing,32.0,47500.0,BRG AHM SET 6203 RS,2021-01-01
Ban,38.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-01-01
Kampas Rem,37.0,65000.0,DPAD YGP 2BM,2021-01-01
Sensor,63.0,170000.0,Sensor CKP KOJ Genio,2021-01-01
Kampas Kopling,72.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Seal,56.0,5000.0,Seal Kopling,2021-01-01
Oli,48.0,33500.0,Mesran Super 4T 0.8 L,2021-01-01
Bearing,31.0,47500.0,BRG AHM SET 6203 RS,2021-01-01
Oli,67.0,23000.0,Evalube 2T 0.7,2021-01-01
Piringan Cakram,40.0,98500.0,Piringan DPN KC/YMMT NMX,2021-01-01
V-Belt,69.0,119000.0,V Belt Only YGP 2DP NMX,2021-01-01
Gear Rantai,81.0,150000.0,Gear Seat Asp Grand,2021-01-01
Dinamo,64.0,166000.0,Dinamo ST indo KPH,2021-01-01
Rumah Roller,68.0,95000.0,AHM K44 Scoopy,2021-01-01
Oli,66.0,62000.0,Yamalube Super Matic 1 L,2021-01-01
Lampu,46.0,25000.0,SGP Lampu Kepala depan,2021-01-01
V-Belt,65.0,145000.0,V Belt set AHM KVB,2021-01-01
Lampu,53.0,25000.0,SGP Lampu Kepala depan,2021-01-01
Filter Udara,76.0,60000.0,Filter Udara AHM,2021-01-01
Sakelar,31.0,15000.0,Sakelar Retting,2021-01-01
Piringan Cakram,61.0,98500.0,Piringan DPN KC/YMMT NMX,2021-01-01
Oli,71.0,47500.0,MOTUL MOTO 4 T,2021-01-01
Sakelar,34.0,15000.0,Sakelar Retting,2021-01-01
Oli,43.0,62000.0,Yamalube Super Matic 1 L,2021-01-01
Hendel Rem,61.0,150000.0,Hendel Rem Ori AHM,2021-01-01
Rumah Roller,33.0,85000.0,AHM KVB Vario,2021-01-01
Kaca Spion,71.0,50000.0,Spion Beat FI,2021-01-01
Ban,66.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-01-01
Ban,71.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-01-01
Ban,48.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-01-01
Oli,36.0,15000.0,MOTUL SCOOTER GEAR,2021-01-01
Dinamo,46.0,166000.0,Dinamo ST indo KPH,2021-01-01
Oli,65.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-01-01
Busi,63.0,28000.0,BUSI AHM U22FER9,2021-01-01
Filter Udara,38.0,70000.0,Filter Udara YGP,2021-01-01
Ban,31.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Dinamo,70.0,166000.0,Dinamo ST indo KPH,2021-01-01
Oli,34.0,49000.0,MPX 2 0.8L,2021-01-01
Velg,63.0,1300000.0,Velg Rossi,2021-01-01
Kampas Rem,38.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Velg,78.0,1300000.0,Velg Rossi,2021-01-01
Ban,61.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Filter Udara,80.0,50000.0,Filter Udara Suzuki,2021-01-01
Oli,83.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Velg,34.0,1600000.0,Velg VND,2021-01-01
Roller,56.0,77500.0,BRT VARIO 125,2021-01-01
Filter Udara,40.0,60000.0,Filter Udara AHM,2021-01-01
Seal,35.0,5000.0,Seal Kopling,2021-01-01
Filter Udara,53.0,70000.0,Filter Udara BRT,2021-01-01
Aki,66.0,200000.0,Aki Kering YGP 3C1,2021-01-01
Ban,50.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Bearing,68.0,44500.0,BRG AHM SET 6201 RS,2021-01-01
V-Belt,44.0,150000.0,V Belt set AHM KWN,2021-01-01
Gear Rantai,83.0,196000.0,Gear seat AHM KEV Supra,2021-01-01
Oli,36.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Gasket,47.0,66000.0,Gasket full seat AHM Supra Fit,2021-01-01
Busi,53.0,170000.0,BUSI NGK BP7ES,2021-01-01
Oli,75.0,33500.0,Mesran Super 4T 0.8 L,2021-01-01
Oli,84.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-01-01
Gear Rantai,80.0,185000.0,Gear Seat AHM KWB revo,2021-01-01
Dinamo,63.0,185000.0,Dinamo AHM KVB Vario,2021-01-01
Bearing,41.0,45500.0,BRG AHM SET 6202 RS,2021-01-01
V-Belt,82.0,170000.0,V Belt set AHM K35,2021-01-01
Filter Udara,72.0,70000.0,Filter Udara BRT,2021-01-01
Sakelar,34.0,8000.0,Sakelar Klakson,2021-01-01
Roller,56.0,70000.0,BRT Mio,2021-01-01
Hendel Rem,30.0,150000.0,Hendel Rem Ori AHM,2021-01-01
Ban,86.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-01-01
Hendel Rem,74.0,200000.0,Hendel Rem No Name,2021-01-01
Sensor,42.0,170000.0,Sensor CKP KOJ Genio,2021-01-01
Radiator,61.0,200000.0,Radiator MLKUNL VARIO,2021-01-01
Lampu,45.0,30000.0,AHM Lampu Kepala,2021-01-01
Oli,78.0,30000.0,Evalube 2T PRO 0.7,2021-01-01
Filter Udara,37.0,50000.0,Filter Udara Suzuki,2021-01-01
Rumah Roller,60.0,70000.0,AHM GMF Beat,2021-01-01
Kampas Kopling,69.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Kampas Kopling,85.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Lampu,52.0,30000.0,AHM Lampu Kepala,2021-01-01
Kampas Kopling,64.0,250000.0,KPL Ganda ONLY MALOSSI,2021-01-01
Seal,67.0,10000.0,Seal Crankshaf,2021-01-01
Hendel Rem,30.0,200000.0,Hendel Rem No Name,2021-01-01
Velg,46.0,350000.0,Velg Comet,2021-01-01
Rumah Roller,55.0,95000.0,AHM K44 Scoopy,2021-01-01
Ban,38.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Piringan Cakram,41.0,68000.0,Piringan DPN AHM Scoopy New,2021-01-01
Ban,33.0,154000.0,BL AHM 70/90-17 KWW,2021-01-01
Aki,57.0,275000.0,Aki Kering AHM GTZ6V,2021-01-01
Sensor,33.0,125000.0,Injektor Vario 150 YMMT,2021-01-01
Oli,33.0,33500.0,Mesran Super 4T 0.8 L,2021-01-01
Sakelar,55.0,10000.0,Sakelar Lampu,2021-01-01
Ban,34.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-01-01
Piringan Cakram,66.0,68000.0,Piringan DPN AHM Scoopy New,2021-01-01
Seal,80.0,8000.0,Seal oring,2021-01-01
Kaca Spion,76.0,44500.0,Spion Vario WIN,2021-01-01
Kampas Kopling,72.0,155000.0,KPL Ganda ONLY AHM KVB VARIO,2021-01-01
Kampas Kopling,35.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Kampas Kopling,52.0,275000.0,KPL Ganda ONLY POLINI,2021-01-01
Filter Udara,65.0,50000.0,Filter Udara Suzuki,2021-01-01
Aki,75.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-01-01
Ban,65.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-01-01
Velg,65.0,350000.0,Velg Comet,2021-01-01
Sakelar,67.0,10000.0,Sakelar Lampu,2021-01-01
Kampas Rem,44.0,65000.0,DPAD YGP 2BM,2021-01-01
Bearing,77.0,50500.0,BRG AHM SET 6301 RS,2021-01-01
Ban,49.0,186500.0,BL AHM 80/90-17 KWW,2021-01-01
Lampu,74.0,8000.0,Indo Part Lampu dop rem,2021-01-01
V-Belt,58.0,150000.0,V Belt kit AHM K16,2021-01-01
Gear Rantai,83.0,185000.0,Gear Seat AHM KWB revo,2021-01-01
Dinamo,41.0,200000.0,Dinamo YGP Nmx old,2021-01-01
Ban,77.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-01-01
Roller,38.0,77500.0,BRT NMX,2021-01-01
Ban,53.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-01-01
Hendel Rem,68.0,150000.0,Hendel Rem Ori AHM,2021-01-01
Ban,59.0,290000.0,FDR TR TL 100/80-14,2021-01-01
Oli,77.0,15000.0,MOTUL SCOOTER GEAR,2021-01-01
Ban,31.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Rumah Roller,32.0,85000.0,AHM KVB Vario,2021-01-01
Oli,68.0,33500.0,Mesran Super 4T 0.8 L,2021-01-01
Oli,36.0,128000.0,MOTUL SCOOTER POWER LE,2021-01-01
Kaca Spion,71.0,50000.0,Spion Beat FI,2021-01-01
Oli,40.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-01-01
Velg,60.0,1500000.0,Velg Enkei,2021-01-01
Filter Udara,85.0,50000.0,Filter Udara Suzuki,2021-01-01
Kaca Spion,63.0,44500.0,Spion Vario WIN,2021-01-01
Oli,75.0,49000.0,MPX 1 0.8L,2021-01-01
Kampas Rem,33.0,65000.0,DPAD YGP 2BM,2021-01-01
Roller,70.0,65000.0,Kawahara Nmx,2021-01-01
Oli,63.0,128000.0,MOTUL SCOOTER POWER LE,2021-01-01
Kampas Kopling,62.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Oli,35.0,23000.0,Evalube 2T 0.7,2021-01-01
V-Belt,54.0,119000.0,V Belt Only YGP 2DP NMX,2021-01-01
Aki,65.0,250000.0,Aki Basah Yuasa YB5L-B,2021-01-01
Ban,71.0,230000.0,BL IRC MB86 100/90-12,2021-01-01
Oli,38.0,47500.0,MOTUL MOTO 4 T,2021-01-01
Bearing,57.0,55000.0,BRG AHM SET 6303 RS,2021-01-01
Gear Rantai,57.0,150000.0,Gear Seat Asp Grand,2021-01-01
Kampas Kopling,72.0,275000.0,KPL Ganda ONLY POLINI,2021-01-01
Radiator,74.0,200000.0,Radiator MLKUNL VARIO,2021-01-01
Oli,85.0,23000.0,Evalube 2T 0.7,2021-01-01
Piringan Cakram,74.0,68000.0,Piringan DPN AHM Scoopy New,2021-01-01
Busi,81.0,28000.0,BUSI AHM U22FER9,2021-01-01
Velg,43.0,1500000.0,Velg TDR,2021-01-01
Oli,86.0,47500.0,MOTUL MOTO 4 T,2021-01-01
Ban,34.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Seal,36.0,8000.0,Seal oring,2021-01-01
Oli,58.0,49000.0,MPX 2 0.8L,2021-01-01
Sakelar,76.0,8000.0,Sakelar Klakson,2021-01-01
Ban,70.0,154000.0,BL AHM 70/90-17 KWW,2021-01-01
Velg,45.0,350000.0,Velg Comet,2021-01-01
Filter Udara,83.0,70000.0,Filter Udara BRT,2021-01-01
Bearing,44.0,56500.0,BRG AHM SET 6304 RS,2021-01-01
Gear Rantai,46.0,150000.0,Gear Seat Asp Grand,2021-01-01
Gear Rantai,47.0,150000.0,Gear Seat Asp Grand,2021-01-01
Velg,77.0,1500000.0,Velg TDR,2021-01-01
Sensor,82.0,196000.0,Sensor TPS KOJ,2021-01-01
Oli,63.0,62000.0,Yamalube Super Matic 1 L,2021-01-01
Kampas Rem,53.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Kaca Spion,37.0,44500.0,Spion Vario WIN,2021-01-01
Ban,40.0,186500.0,BL AHM 80/90-17 KWW,2021-01-01
Ban,31.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-01-01
Oli,49.0,128000.0,MOTUL SCOOTER POWER LE,2021-01-01
Radiator,76.0,115000.0,Radiator YMMT Vario 125,2021-01-01
Hendel Rem,70.0,150000.0,Hendel Rem Ori AHM,2021-01-01
Seal,30.0,10000.0,Seal Crankshaf,2021-01-01
Roller,41.0,77500.0,BRT NMX,2021-01-01
Dinamo,67.0,200000.0,Dinamo YGP Nmx old,2021-01-01
Kampas Rem,80.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Velg,42.0,1500000.0,Velg Enkei,2021-01-01
Oli,68.0,33500.0,Mesran Super 4T 0.8 L,2021-01-01
Aki,66.0,250000.0,Aki Basah Yuasa YB5L-B,2021-01-01
Roller,48.0,65000.0,Kawahara Nmx,2021-01-01
Aki,61.0,275000.0,Aki Kering AHM GTZ6V,2021-01-01
Ban,46.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-01-01
V-Belt,84.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-01-01
Hendel Rem,39.0,200000.0,Hendel Rem No Name,2021-01-01
Oli,54.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Lampu,37.0,8000.0,Indo Part Lampu dop rem,2021-01-01
Oli,64.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Kampas Rem,81.0,40000.0,Kampas Belakang Supra,2021-01-01
Kampas Kopling,78.0,275000.0,KPL Ganda ONLY POLINI,2021-01-01
Ban,79.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-01-01
Kampas Kopling,48.0,200000.0,KPL Ganda ONLY BRT,2021-01-01
Ban,40.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Hendel Rem,81.0,900000.0,Hendel Rem KTC,2021-01-01
Ban,40.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Oli,54.0,49000.0,MPX 2 0.8L,2021-01-01
V-Belt,53.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-01-01
V-Belt,63.0,170000.0,V Belt set AHM K35,2021-01-01
Oli,72.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Busi,54.0,170000.0,BUSI NGK BP7ES,2021-01-01
Piringan Cakram,34.0,55500.0,Piringan DPN AHM Vario,2021-01-01
Gasket,45.0,55000.0,Gasket full seat AHM Scoopy,2021-01-01
Gasket,56.0,13000.0,Gasket Cylinder Nmx,2021-01-01
Gear Rantai,76.0,185000.0,Gear Seat AHM KWB revo,2021-01-01
Shockbreaker,61.0,210000.0,Shock AHM KZR Vario 125,2021-01-01
Aki,85.0,275000.0,Aki Kering AHM GTZ6V,2021-01-01
Rumah Roller,52.0,75000.0,AHM KOJ Scoopy New,2021-01-01
Bearing,40.0,56500.0,BRG AHM SET 6304 RS,2021-01-01
Busi,38.0,28000.0,BUSI AHM U22FER9,2021-01-01
Bearing,45.0,50500.0,BRG AHM SET 6204 RS,2021-01-01
Ban,81.0,240000.0,FDR TR TL 80/80-17 Sport Evo,2021-01-01
Filter Udara,49.0,70000.0,Filter Udara YGP,2021-01-01
Dinamo,78.0,185000.0,Dinamo AHM KVB Vario,2021-01-01
Velg,32.0,1500000.0,Velg Enkei,2021-01-01
V-Belt,30.0,145000.0,V Belt set AHM KVB,2021-01-01
Roller,66.0,70000.0,BRT Mio,2021-01-01
Ban,75.0,154000.0,BL AHM 70/90-17 KWW,2021-01-01
Shockbreaker,72.0,210000.0,Shock AHM KVY Beat,2021-01-01
Oli,36.0,49000.0,MPX 2 0.8L,2021-01-01
Aki,41.0,200000.0,Aki Kering YGP 3C1,2021-01-01
Sakelar,33.0,12000.0,Sakelar Indling stop,2021-01-01
Oli,83.0,62000.0,Yamalube Super Matic 1 L,2021-01-01
Kampas Kopling,47.0,250000.0,KPL Ganda ONLY MALOSSI,2021-01-01
Oli,55.0,44000.0,Mesrania 2T super 1 L,2021-01-01
Bearing,41.0,44500.0,BRG AHM SET 6201 RS,2021-01-01
Kampas Kopling,65.0,155000.0,KPL Ganda ONLY AHM KVB VARIO,2021-01-01
Kampas Rem,72.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Bearing,82.0,56500.0,BRG AHM SET 6304 RS,2021-01-01
Kampas Kopling,47.0,250000.0,KPL Ganda ONLY MALOSSI,2021-01-01
Bearing,60.0,47500.0,BRG AHM SET 6203 RS,2021-01-01
Shockbreaker,30.0,210000.0,Shock AHM KZR Vario 125,2021-01-01
Kampas Rem,40.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Lampu,70.0,25000.0,SGP Lampu Kepala depan,2021-01-01
Hendel Rem,52.0,200000.0,Hendel Rem No Name,2021-01-01
V-Belt,60.0,150000.0,V Belt set AHM KWN,2021-01-01
Rumah Roller,79.0,75000.0,AHM KOJ Scoopy New,2021-01-01
Ban,65.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-01-01
Roller,78.0,77500.0,BRT NMX,2021-01-01
Seal,79.0,7000.0,Seal Pulau,2021-01-01
Seal,73.0,7000.0,Seal Pulau,2021-01-01
Rumah Roller,43.0,75000.0,AHM KOJ Scoopy New,2021-01-01
Ban,65.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Ban,72.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Kampas Kopling,54.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-01-01
Oli,51.0,40500.0,Mesran 40 1 LTR,2021-01-01
Rumah Roller,38.0,95000.0,AHM K44 Scoopy,2021-01-01
Bearing,66.0,50500.0,BRG AHM SET 6204 RS,2021-01-01
Aki,51.0,200000.0,Aki Kering YGP 3C1,2021-01-01
Seal,33.0,5000.0,Seal Kopling,2021-01-01
Roller,77.0,77500.0,BRT NMX,2021-01-01
Shockbreaker,51.0,210000.0,Shock AHM KVY Beat,2021-01-01
Oli,81.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-01-01
Hendel Rem,52.0,150000.0,Hendel Rem Ori AHM,2021-01-01
V-Belt,72.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-01-01
Lampu,45.0,25000.0,SGP Lampu Kepala depan,2021-01-01
Oli,60.0,64000.0,Motul GP MTC 4T,2021-01-01
Bearing,64.0,44500.0,BRG AHM SET 6201 RS,2021-01-01
Ban,50.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-01-01
Kampas Rem,31.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Kampas Rem,54.0,47000.0,DPAD BLK SUPRA,2021-01-01
Rumah Roller,83.0,70000.0,AHM GMF Beat,2021-01-01
Ban,72.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-01-01
Velg,77.0,350000.0,Velg Comet,2021-01-01
Ban,86.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-01-01
Rumah Roller,69.0,75000.0,AHM KOJ Scoopy New,2021-01-01
Aki,65.0,250000.0,Aki Basah Yuasa YB5L-B,2021-01-01
Sensor,61.0,87000.0,Sensor TPS,2021-01-01
Bearing,81.0,50500.0,BRG AHM SET 6204 RS,2021-01-01
Ban,74.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-01-01
Kaca Spion,34.0,50000.0,Spion Beat FI,2021-01-01
